IPN,MPN,Manufacturer,Description,Symbol,Footprint,Capacitance,Voltage,Material,Tolerance,Datasheet,Voltage Rating (AC),Series,Length,Width,Height,Mounting Type,Package/Case,Polarization,Lead Spacing
CAP-3005-010U,EEE-HB1H100P,Panasonic,CAP ALUM POL 20% 50V SMT 10u,Device:C_Polarized_US,Capacitor_SMD:CP_Elec_6.3x5.8,10u,50V,Aluminum Electrolytic,20.00%,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1157.pdf,,HB,6.3,6.3,5.8,SMD,"Radial, Can - SMD",Polar,
CAP-3005-022U,EEE-HB1V220P,Panasonic,CAP ALUM POL 20% 35V SMT 22u,Device:C_Polarized_US,Capacitor_SMD:CP_Elec_6.3x5.8,22u,35V,Aluminum Electrolytic,20.00%,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1157.pdf,,HB,6.3,6.3,5.8,SMD,"Radial, Can - SMD",Polar,
CAP-3005-033U,EEE-HB1E330P,Panasonic,CAP ALUM POL 20% 25V SMT 33u,Device:C_Polarized_US,Capacitor_SMD:CP_Elec_6.3x5.8,33u,25V,Aluminum Electrolytic,20.00%,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1157.pdf,,HB,6.3,6.3,5.8,SMD,"Radial, Can - SMD",Polar,
CAP-3005-047U,EEE-FK1E470P,Panasonic,CAP ALUM POL 20% 25V SMT 47u,Device:C_Polarized_US,Capacitor_SMD:CP_Elec_6.3x5.8,47u,25V,Aluminum Electrolytic,20.00%,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1181.pdf,,FK,6.3,6.3,5.8,SMD,"Radial, Can - SMD",Polar,
CAP-3005-100U,EEE-FK1E101P,Panasonic,CAP ALUM POL 20% 25V SMT 100u,Device:C_Polarized_US,Capacitor_SMD:CP_Elec_8x6.2,100u,25V,Aluminum Electrolytic,20.00%,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1181.pdf,,FK,8,8,6.2,SMD,"Radial, Can - SMD",Polar,
CAP-3005-150U,EEE-FK1E151P,Panasonic,CAP ALUM POL 20% 25V SMT 150u,Device:C_Polarized_US,Capacitor_SMD:CP_Elec_8x10.5,150u,25V,Aluminum Electrolytic,20.00%,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1181.pdf,,FK,8,8,10.2,SMD,"Radial, Can - SMD",Polar,
CAP-3005-220U,EEE-FK1E221P,Panasonic,CAP ALUM POL 20% 25V SMT 220u,Device:C_Polarized_US,Capacitor_SMD:CP_Elec_8x10.5,220u,25V,Aluminum Electrolytic,20.00%,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1181.pdf,,FK,8,8,10.2,SMD,"Radial, Can - SMD",Polar,
CAP-3005-330U,EEE-FK1E331P,Panasonic,CAP ALUM POL 20% 25V SMT 330u,Device:C_Polarized_US,Capacitor_SMD:CP_Elec_8x10.5,330u,25V,Aluminum Electrolytic,20.00%,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1181.pdf,,FK,8,8,10.2,SMD,"Radial, Can - SMD",Polar,
CAP-3005-470U,EEE-FK1E471P,Panasonic,CAP ALUM POL 20% 25V SMT 470u,Device:C_Polarized_US,Capacitor_SMD:CP_Elec_10x10.5,470u,25V,Aluminum Electrolytic,20.00%,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1181.pdf,,FK,10,10,10.2,SMD,"Radial, Can - SMD",Polar,
CAP-4001-001P,,,CAP SMD 1pF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,1p,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-01P2,,,CAP SMD 1.2pF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,1.2p,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-01P5,,,CAP SMD 1.5pF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,1.5p,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-01P8,,,CAP SMD 1.8pF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,1.8p,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-02P2,,,CAP SMD 2.2pF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,2.2p,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-02P7,,,CAP SMD 2.7pF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,2.7p,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-03P3,,,CAP SMD 3.3pF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,3.3p,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-03P9,,,CAP SMD 3.9pF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,3.9p,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-04P7,,,CAP SMD 4.7pF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,4.7p,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-05P6,,,CAP SMD 5.6pF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,5.6p,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-06P8,,,CAP SMD 6.8pF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,6.8p,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-08P2,,,CAP SMD 8.2pF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,8.2p,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-010P,,,CAP SMD 10pF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,10p,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-012P,,,CAP SMD 12pF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,12p,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-015P,,,CAP SMD 15pF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,15p,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-018P,,,CAP SMD 18pF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,18p,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-022P,,,CAP SMD 22pF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,22p,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-027P,,,CAP SMD 27pF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,27p,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-033P,,,CAP SMD 33pF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,33p,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-039P,,,CAP SMD 39pF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,39p,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-047P,,,CAP SMD 47pF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,47p,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-056P,,,CAP SMD 56pF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,56p,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-068P,,,CAP SMD 68pF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,68p,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-082P,,,CAP SMD 82pF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,82p,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-100P,,,CAP SMD 100pF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,100p,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-150P,,,CAP SMD 150pF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,150p,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-220P,,,CAP SMD 220pF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,220p,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-330P,,,CAP SMD 330pF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,330p,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-470P,,,CAP SMD 470pF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,470p,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-680P,,,CAP SMD 680pF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,680p,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-001N,,,CAP SMD 1nF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,1n,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-01N5,,,CAP SMD 1.5nF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,1.5n,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-02N2,,,CAP SMD 2.2nF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,2.2n,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-03N3,,,CAP SMD 3.3nF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,3.3n,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-04N7,,,CAP SMD 4.7nF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,4.7n,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-06N8,,,CAP SMD 6.8nF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,6.8n,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4001-010N,,,CAP SMD 10nF 0402 25V+ NP0,Device:C,Capacitor_SMD:C_0402_1005Metric,10n,25V+,NP0,,,,,,,,SMD,402,Unpolarized,
CAP-4002-015N,,,CAP SMD 15nF 0805 25V+ NP0,Device:C,Capacitor_SMD:C_0805:2012Metric,15n,25V+,NP0,,,,,,,,SMD,805,Unpolarized,
CAP-4002-022N,,,CAP SMD 22nF 0805 25V+ NP0,Device:C,Capacitor_SMD:C_0805:2012Metric,22n,25V+,NP0,,,,,,,,SMD,805,Unpolarized,
CAP-4002-033N,,,CAP SMD 33nF 0805 25V+ NP0,Device:C,Capacitor_SMD:C_0805:2012Metric,33n,25V+,NP0,,,,,,,,SMD,805,Unpolarized,
CAP-4002-047N,,,CAP SMD 47nF 0805 25V+ NP0,Device:C,Capacitor_SMD:C_0805:2012Metric,47n,25V+,NP0,,,,,,,,SMD,805,Unpolarized,
CAP-4003-010N,,,CAP SMD 10nF 0402 25V+ X7R,Device:C,Capacitor_SMD:C_0402_1005Metric,10n,25V+,X7R,,,,,,,,SMD,402,Unpolarized,
CAP-4003-015N,,,CAP SMD 15nF 0402 25V+ X7R,Device:C,Capacitor_SMD:C_0402_1005Metric,15n,25V+,X7R,,,,,,,,SMD,402,Unpolarized,
CAP-4003-022N,,,CAP SMD 22nF 0402 25V+ X7R,Device:C,Capacitor_SMD:C_0402_1005Metric,22n,25V+,X7R,,,,,,,,SMD,402,Unpolarized,
CAP-4003-033N,,,CAP SMD 33nF 0402 25V+ X7R,Device:C,Capacitor_SMD:C_0402_1005Metric,33n,25V+,X7R,,,,,,,,SMD,402,Unpolarized,
CAP-4003-047N,,,CAP SMD 47nF 0402 25V+ X7R,Device:C,Capacitor_SMD:C_0402_1005Metric,47n,25V+,X7R,,,,,,,,SMD,402,Unpolarized,
CAP-4003-068N,,,CAP SMD 68nF 0402 25V+ X7R,Device:C,Capacitor_SMD:C_0402_1005Metric,68n,25V+,X7R,,,,,,,,SMD,402,Unpolarized,
CAP-4003-100N,,,CAP SMD 100nF 0402 25V+ X7R,Device:C,Capacitor_SMD:C_0402_1005Metric,100n,25V+,X7R,,,,,,,,SMD,402,Unpolarized,
CAP-4003-150N,,,CAP SMD 150nF 0402 25V+ X7R,Device:C,Capacitor_SMD:C_0402_1005Metric,150n,25V+,X7R,,,,,,,,SMD,402,Unpolarized,
CAP-4003-220N,,,CAP SMD 220nF 0402 25V+ X7R,Device:C,Capacitor_SMD:C_0402_1005Metric,220n,25V+,X7R,,,,,,,,SMD,402,Unpolarized,
CAP-4004-330N,,,CAP SMD 330nF 0603 25V+ X7R,Device:C,Capacitor_SMD:C_0603_1608Metric,330n,25V+,X7R,,,,,,,,SMD,603,Unpolarized,
CAP-4004-470N,,,CAP SMD 470nF 0603 25V+ X7R,Device:C,Capacitor_SMD:C_0603_1608Metric,470n,25V+,X7R,,,,,,,,SMD,603,Unpolarized,
CAP-4004-680N,,,CAP SMD 680nF 0603 25V+ X7R,Device:C,Capacitor_SMD:C_0603_1608Metric,680n,25V+,X7R,,,,,,,,SMD,603,Unpolarized,
CAP-4004-001U,,,CAP SMD 1uF 0603 25V+ X7R,Device:C,Capacitor_SMD:C_0603_1608Metric,1u,25V+,X7R,,,,,,,,SMD,603,Unpolarized,
CAP-4005-02U2,,,CAP SMD 2.2uF 0805 25V+ X7R,Device:C,Capacitor_SMD:C_0805:2012Metric,2.2u,25V+,X7R,,,,,,,,SMD,805,Unpolarized,
CAP-4005-04U7,,,CAP SMD 4.7uF 0805 25V+ X7R,Device:C,Capacitor_SMD:C_0805:2012Metric,4.7u,25V+,X7R,,,,,,,,SMD,805,Unpolarized,
CAP-4006-010U,,,CAP SMD 10uF 1206 25V+ X7R,Device:C,Capacitor_SMD:C_1206_3216Metric,10u,25V+,X7R,,,,,,,,SMD,1206,Unpolarized,
CAP-4007-02U2,,,CAP SMD 2.2uF 0603 10V+ X7R,Device:C,Capacitor_SMD:C_0603_1608Metric,2.2u,10V+,X7R,,,,,,,,SMD,603,Unpolarized,
CAP-4008-010U,,,CAP SMD 10uF 0805 10V+ X7R,Device:C,Capacitor_SMD:C_0805:2012Metric,10u,10V+,X7R,,,,,,,,SMD,805,Unpolarized,
CAP-4009-022U,,,CAP SMD 22uF 1206 10V+ X7R,Device:C,Capacitor_SMD:C_1206_3216Metric,22u,10V+,X7R,,,,,,,,SMD,1206,Unpolarized,
CAP-4010-330N,,,CAP SMD 330nF 0402 6.3V+ X7R,Device:C,Capacitor_SMD:C_0402_1005Metric,330n,6.3V+,X7R,,,,,,,,SMD,402,Unpolarized,
CAP-4010-470N,,,CAP SMD 470nF 0402 6.3V+ X7R,Device:C,Capacitor_SMD:C_0402_1005Metric,470n,6.3V+,X7R,,,,,,,,SMD,402,Unpolarized,
CAP-4010-680N,,,CAP SMD 680nF 0402 6.3V+ X7R,Device:C,Capacitor_SMD:C_0402_1005Metric,680n,6.3V+,X7R,,,,,,,,SMD,402,Unpolarized,
CAP-4010-001U,,,CAP SMD 1uF 0402 6.3V+ X7R,Device:C,Capacitor_SMD:C_0402_1005Metric,1u,6.3V+,X7R,,,,,,,,SMD,402,Unpolarized,
CAP-4011-047U,,,CAP SMD 47uF 1210 6.3V+ X7R,Device:C,Capacitor_SMD:C_1210_3225Metric,47u,6.3V+,X7R,,,,,,,,SMD,1210,Unpolarized,
