IPN,MPN,Manufacturer,Description,Symbol,Footprint,Capacitance,Voltage,Material,Tolerance,Datasheet,Voltage Rating (AC),Series,Length,Width,Height,Mounting Type,Package/Case,Polarization,Lead Spacing
CAP-1001-0015,FKP2C016801D00JSSD,Wima,CAP FILM PP WIMA FKP2 6.8n,Device:C,Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,6.8n,63V,Polypropylene,20.00%,https://www.wima.de/wp-content/uploads/media/e_WIMA_FKP_2.pdf,40V,FKP 2,7.2,4.5,6,Through Hole,Radial,Bi-Polar,5mm
CAP-1002-0001,MKP2C021001B00JSSD,Wima,CAP FILM PP-M WIMA MKP2 10n,Device:C,Capacitor_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,10n,63V,Polypropylene (Metallized),20.00%,https://www.wima.de/wp-content/uploads/media/e_WIMA_MKP_2.pdf,40V,MKP 2,7.2,3,7.5,Through Hole,Radial,Bi-Polar,5mm
CAP-1002-0002,MKP2D021501B00KSSD,Wima,CAP FILM PP-M WIMA MKP2 15n,Device:C,Capacitor_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,15n,63V,Polypropylene (Metallized),20.00%,https://www.wima.de/wp-content/uploads/media/e_WIMA_MKP_2.pdf,40V,MKP 2,7.2,3,7.5,Through Hole,Radial,Bi-Polar,5mm
CAP-1002-0003,MKP2D022201B00KSSD,Wima,CAP FILM PP-M WIMA MKP2 22n,Device:C,Capacitor_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,22n,63V,Polypropylene (Metallized),20.00%,https://www.wima.de/wp-content/uploads/media/e_WIMA_MKP_2.pdf,40V,MKP 2,7.2,3,7.5,Through Hole,Radial,Bi-Polar,5mm
CAP-1002-0004,MKP2D023301B00KSSD,Wima,CAP FILM PP-M WIMA MKP2 33n,Device:C,Capacitor_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,33n,63V,Polypropylene (Metallized),20.00%,https://www.wima.de/wp-content/uploads/media/e_WIMA_MKP_2.pdf,40V,MKP 2,7.2,3,7.5,Through Hole,Radial,Bi-Polar,5mm
CAP-1002-0005,MKP2C024701C00KSSD,Wima,CAP FILM PP-M WIMA MKP2 47n,Device:C,Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,47n,63V,Polypropylene (Metallized),20.00%,https://www.wima.de/wp-content/uploads/media/e_WIMA_MKP_2.pdf,40V,MKP 2,7.2,3.5,8.5,Through Hole,Radial,Bi-Polar,5mm
CAP-1002-0006,MKP2C026801E00JSSD,Wima,CAP FILM PP-M WIMA MKP2 68n,Device:C,Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,68n,63V,Polypropylene (Metallized),20.00%,https://www.wima.de/wp-content/uploads/media/e_WIMA_MKP_2.pdf,40V,MKP 2,7.2,4.5,9.5,Through Hole,Radial,Bi-Polar,5mm
CAP-1002-0007,MKP2F031001F00KSSD,Wima,CAP FILM PP-M WIMA MKP2 100n,Device:C,Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,100n,63V,Polypropylene (Metallized),20.00%,https://www.wima.de/wp-content/uploads/media/e_WIMA_MKP_2.pdf,40V,MKP 2,7.2,5,10,Through Hole,Radial,Bi-Polar,5mm
CAP-1003-0001,MKS2C031501A00MSSD,Wima,CAP FILM PE-M WIMA MKS2 150n,Device:C,Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,150n,63V,Polyester (Metallized),20.00%,https://www.wima.de/wp-content/uploads/media/e_WIMA_MKS_2.pdf,40V,MKS 2,7.2,2.5,6.5,Through Hole,Radial,Bi-Polar,5mm
CAP-1003-0002,MKS2C032201B00KSSD,Wima,CAP FILM PE-M WIMA MKS2 220n,Device:C,Capacitor_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,220n,63V,Polyester (Metallized),20.00%,https://www.wima.de/wp-content/uploads/media/e_WIMA_MKS_2.pdf,40V,MKS 2,7.2,3,7.5,Through Hole,Radial,Bi-Polar,5mm
