IPN,MPN,Manufacturer,Description,Symbol,Footprint,Datasheet,Series,Type,Resistance,Taper,Name,Turns,Gangs,Switch,Switch Type,Adjustment,Shaft Diameter,Length,Width,Height,Mounting,Material,Tolerance
POT-5005-B104,3361P-1-104GLF,Bourns,POT TRIM LINEAR SMD 1-TURN TOP-ADJ 100K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3361P_Vertical,https://www.bourns.com/docs/Product-Datasheets/3361.pdf,3361P,Trimmer,100k,Linear,B100k,1,1,None,N/A,Top,N/A,6.7,7,5.2,SMD,Cermet,10.00%
POT-5005-B204,3361P-1-204GLF,Bourns,POT TRIM LINEAR SMD 1-TURN TOP-ADJ 200K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3361P_Vertical,https://www.bourns.com/docs/Product-Datasheets/3361.pdf,3361P,Trimmer,200k,Linear,B200k,1,1,None,N/A,Top,N/A,6.7,7,5.2,SMD,Cermet,10.00%
POT-5005-B504,3361P-1-304GLF,Bourns,POT TRIM LINEAR SMD 1-TURN TOP-ADJ 500K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3361P_Vertical,https://www.bourns.com/docs/Product-Datasheets/3361.pdf,3361P,Trimmer,500k,Linear,B500k,1,1,None,N/A,Top,N/A,6.7,7,5.2,SMD,Cermet,10.00%
POT-5005-B105,3361P-1-105GLF,Bourns,POT TRIM LINEAR SMD 1-TURN TOP-ADJ 1M,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3361P_Vertical,https://www.bourns.com/docs/Product-Datasheets/3361.pdf,3361P,Trimmer,1M,Linear,B1M,1,1,None,N/A,Top,N/A,6.7,7,5.2,SMD,Cermet,10.00%
POT-5006-B102,3361S-1-102GLF,Bourns,POT TRIM LINEAR SMD 1-TURN SIDE-ADJ 1K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3361P_Vertical,https://www.bourns.com/docs/Product-Datasheets/3361.pdf,3361S,Trimmer,1k,Linear,B1k,1,1,None,N/A,Side,N/A,6.7,4.9,7.4,SMD,Cermet,10.00%
POT-5006-B202,3361S-1-202GLF,Bourns,POT TRIM LINEAR SMD 1-TURN SIDE-ADJ 2K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3361P_Vertical,https://www.bourns.com/docs/Product-Datasheets/3361.pdf,3361S,Trimmer,2k,Linear,B2k,1,1,None,N/A,Side,N/A,6.7,4.9,7.4,SMD,Cermet,10.00%
POT-5006-B502,3361S-1-502GLF,Bourns,POT TRIM LINEAR SMD 1-TURN SIDE-ADJ 5K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3361P_Vertical,https://www.bourns.com/docs/Product-Datasheets/3361.pdf,3361S,Trimmer,5k,Linear,B5k,1,1,None,N/A,Side,N/A,6.7,4.9,7.4,SMD,Cermet,10.00%
POT-5006-B103,3361S-1-103GLF,Bourns,POT TRIM LINEAR SMD 1-TURN SIDE-ADJ 10K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3361P_Vertical,https://www.bourns.com/docs/Product-Datasheets/3361.pdf,3361S,Trimmer,10k,Linear,B10k,1,1,None,N/A,Side,N/A,6.7,4.9,7.4,SMD,Cermet,10.00%
POT-5006-B203,3361S-1-203GLF,Bourns,POT TRIM LINEAR SMD 1-TURN SIDE-ADJ 20K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3361P_Vertical,https://www.bourns.com/docs/Product-Datasheets/3361.pdf,3361S,Trimmer,20k,Linear,B20k,1,1,None,N/A,Side,N/A,6.7,4.9,7.4,SMD,Cermet,10.00%
POT-5006-B503,3361S-1-503GLF,Bourns,POT TRIM LINEAR SMD 1-TURN SIDE-ADJ 50K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3361P_Vertical,https://www.bourns.com/docs/Product-Datasheets/3361.pdf,3361S,Trimmer,50k,Linear,B50k,1,1,None,N/A,Side,N/A,6.7,4.9,7.4,SMD,Cermet,10.00%
POT-5006-B104,3361S-1-104GLF,Bourns,POT TRIM LINEAR SMD 1-TURN SIDE-ADJ 100K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3361P_Vertical,https://www.bourns.com/docs/Product-Datasheets/3361.pdf,3361S,Trimmer,100k,Linear,B100k,1,1,None,N/A,Side,N/A,6.7,4.9,7.4,SMD,Cermet,10.00%
POT-5006-B204,3361S-1-204GLF,Bourns,POT TRIM LINEAR SMD 1-TURN SIDE-ADJ 200K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3361P_Vertical,https://www.bourns.com/docs/Product-Datasheets/3361.pdf,3361S,Trimmer,200k,Linear,B200k,1,1,None,N/A,Side,N/A,6.7,4.9,7.4,SMD,Cermet,10.00%
POT-5006-B504,3361S-1-304GLF,Bourns,POT TRIM LINEAR SMD 1-TURN SIDE-ADJ 500K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3361P_Vertical,https://www.bourns.com/docs/Product-Datasheets/3361.pdf,3361S,Trimmer,500k,Linear,B500k,1,1,None,N/A,Side,N/A,6.7,4.9,7.4,SMD,Cermet,10.00%
POT-5006-B105,3361S-1-105GLF,Bourns,POT TRIM LINEAR SMD 1-TURN SIDE-ADJ 1M,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3361P_Vertical,https://www.bourns.com/docs/Product-Datasheets/3361.pdf,3361S,Trimmer,1M,Linear,B1M,1,1,None,N/A,Side,N/A,6.7,4.9,7.4,SMD,Cermet,10.00%
POT-5007-B102,3214X-1-102E,Bourns,POT TRIM LINEAR SMD 5-TURN TOP-ADJ 1K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3214X_Vertical,https://www.bourns.com/docs/Product-Datasheets/3214.pdf,3214G,Trimmer,1k,Linear,B1k,5,1,None,N/A,Side,N/A,4.8,4.6,3.9,SMD,Cermet,10.00%
POT-5007-B202,3214X-1-202E,Bourns,POT TRIM LINEAR SMD 5-TURN TOP-ADJ 2K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3214X_Vertical,https://www.bourns.com/docs/Product-Datasheets/3214.pdf,3214G,Trimmer,2k,Linear,B2k,5,1,None,N/A,Side,N/A,4.8,4.6,3.9,SMD,Cermet,10.00%
POT-5007-B502,3214X-1-502E,Bourns,POT TRIM LINEAR SMD 5-TURN TOP-ADJ 5K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3214X_Vertical,https://www.bourns.com/docs/Product-Datasheets/3214.pdf,3214G,Trimmer,5k,Linear,B5k,5,1,None,N/A,Side,N/A,4.8,4.6,3.9,SMD,Cermet,10.00%
POT-5007-B103,3214X-1-103E,Bourns,POT TRIM LINEAR SMD 5-TURN TOP-ADJ 10K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3214X_Vertical,https://www.bourns.com/docs/Product-Datasheets/3214.pdf,3214G,Trimmer,10k,Linear,B10k,5,1,None,N/A,Side,N/A,4.8,4.6,3.9,SMD,Cermet,10.00%
POT-5007-B203,3214X-1-203E,Bourns,POT TRIM LINEAR SMD 5-TURN TOP-ADJ 20K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3214X_Vertical,https://www.bourns.com/docs/Product-Datasheets/3214.pdf,3214G,Trimmer,20k,Linear,B20k,5,1,None,N/A,Side,N/A,4.8,4.6,3.9,SMD,Cermet,10.00%
POT-5007-B503,3214X-1-503E,Bourns,POT TRIM LINEAR SMD 5-TURN TOP-ADJ 50K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3214X_Vertical,https://www.bourns.com/docs/Product-Datasheets/3214.pdf,3214G,Trimmer,50k,Linear,B50k,5,1,None,N/A,Side,N/A,4.8,4.6,3.9,SMD,Cermet,10.00%
POT-5007-B104,3214X-1-104E,Bourns,POT TRIM LINEAR SMD 5-TURN TOP-ADJ 100K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3214X_Vertical,https://www.bourns.com/docs/Product-Datasheets/3214.pdf,3214G,Trimmer,100k,Linear,B100k,5,1,None,N/A,Side,N/A,4.8,4.6,3.9,SMD,Cermet,10.00%
POT-5007-B204,3214X-1-204E,Bourns,POT TRIM LINEAR SMD 5-TURN TOP-ADJ 200K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3214X_Vertical,https://www.bourns.com/docs/Product-Datasheets/3214.pdf,3214G,Trimmer,200k,Linear,B200k,5,1,None,N/A,Side,N/A,4.8,4.6,3.9,SMD,Cermet,10.00%
POT-5007-B504,3214X-1-304E,Bourns,POT TRIM LINEAR SMD 5-TURN TOP-ADJ 500K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3214X_Vertical,https://www.bourns.com/docs/Product-Datasheets/3214.pdf,3214G,Trimmer,500k,Linear,B500k,5,1,None,N/A,Side,N/A,4.8,4.6,3.9,SMD,Cermet,10.00%
POT-5007-B105,3214X-1-105E,Bourns,POT TRIM LINEAR SMD 5-TURN TOP-ADJ 1M,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3214X_Vertical,https://www.bourns.com/docs/Product-Datasheets/3214.pdf,3214G,Trimmer,1M,Linear,B1M,5,1,None,N/A,Side,N/A,4.8,4.6,3.9,SMD,Cermet,10.00%
POT-5008-B102,3214G-1-102E,Bourns,POT TRIM LINEAR SMD 5-TURN SIDE-ADJ 1K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3214G_Horizontal,https://www.bourns.com/docs/Product-Datasheets/3214.pdf,3214X,Trimmer,1k,Linear,B1k,5,1,None,N/A,Top,N/A,4.8,3.5,5.1,SMD,Cermet,10.00%
POT-5008-B202,3214G-1-202E,Bourns,POT TRIM LINEAR SMD 5-TURN SIDE-ADJ 2K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3214G_Horizontal,https://www.bourns.com/docs/Product-Datasheets/3214.pdf,3214X,Trimmer,2k,Linear,B2k,5,1,None,N/A,Top,N/A,4.8,3.5,5.1,SMD,Cermet,10.00%
POT-5008-B502,3214G-1-502E,Bourns,POT TRIM LINEAR SMD 5-TURN SIDE-ADJ 5K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3214G_Horizontal,https://www.bourns.com/docs/Product-Datasheets/3214.pdf,3214X,Trimmer,5k,Linear,B5k,5,1,None,N/A,Top,N/A,4.8,3.5,5.1,SMD,Cermet,10.00%
POT-5008-B103,3214G-1-103E,Bourns,POT TRIM LINEAR SMD 5-TURN SIDE-ADJ 10K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3214G_Horizontal,https://www.bourns.com/docs/Product-Datasheets/3214.pdf,3214X,Trimmer,10k,Linear,B10k,5,1,None,N/A,Top,N/A,4.8,3.5,5.1,SMD,Cermet,10.00%
POT-5008-B203,3214G-1-203E,Bourns,POT TRIM LINEAR SMD 5-TURN SIDE-ADJ 20K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3214G_Horizontal,https://www.bourns.com/docs/Product-Datasheets/3214.pdf,3214X,Trimmer,20k,Linear,B20k,5,1,None,N/A,Top,N/A,4.8,3.5,5.1,SMD,Cermet,10.00%
POT-5008-B503,3214G-1-503E,Bourns,POT TRIM LINEAR SMD 5-TURN SIDE-ADJ 50K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3214G_Horizontal,https://www.bourns.com/docs/Product-Datasheets/3214.pdf,3214X,Trimmer,50k,Linear,B50k,5,1,None,N/A,Top,N/A,4.8,3.5,5.1,SMD,Cermet,10.00%
POT-5008-B104,3214G-1-104E,Bourns,POT TRIM LINEAR SMD 5-TURN SIDE-ADJ 100K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3214G_Horizontal,https://www.bourns.com/docs/Product-Datasheets/3214.pdf,3214X,Trimmer,100k,Linear,B100k,5,1,None,N/A,Top,N/A,4.8,3.5,5.1,SMD,Cermet,10.00%
POT-5008-B204,3214G-1-204E,Bourns,POT TRIM LINEAR SMD 5-TURN SIDE-ADJ 200K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3214G_Horizontal,https://www.bourns.com/docs/Product-Datasheets/3214.pdf,3214X,Trimmer,200k,Linear,B200k,5,1,None,N/A,Top,N/A,4.8,3.5,5.1,SMD,Cermet,10.00%
POT-5008-B504,3214G-1-304E,Bourns,POT TRIM LINEAR SMD 5-TURN SIDE-ADJ 500K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3214G_Horizontal,https://www.bourns.com/docs/Product-Datasheets/3214.pdf,3214X,Trimmer,500k,Linear,B500k,5,1,None,N/A,Top,N/A,4.8,3.5,5.1,SMD,Cermet,10.00%
POT-5008-B105,3214G-1-105E,Bourns,POT TRIM LINEAR SMD 5-TURN SIDE-ADJ 1M,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3214G_Horizontal,https://www.bourns.com/docs/Product-Datasheets/3214.pdf,3214X,Trimmer,1M,Linear,B1M,5,1,None,N/A,Top,N/A,4.8,3.5,5.1,SMD,Cermet,10.00%
