IPN,MPN,Manufacturer,Description,Symbol,Footprint,Datasheet,Series,Type,Resistance,Taper,Name,Turns,Gangs,Switch,Switch Type,Adjustment,Shaft Diameter,Length,Width,Height,Mounting,Material,Tolerance
POT-0001-A105,RD901F-40-15R1-A1M-00DL1,Alpha,POT 9MM ALPHA RD901F AUDIO PTH 1-GANG 6.35MM-SHAFT 1M,g-pot:Pot_Single,g-pot:Potentiometer_9MM_1-Gang_Alpha_RD901F,https://www.mouser.com/datasheet/2/13/RD901SF-2303579.pdf,RD901F,Rotary,1M,Audio,A1M,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-0001-C102,RD901F-40-15R1-C1K-00DL1,Alpha,POT 9MM ALPHA RD901F REV. AUDIO PTH 1-GANG 6.35MM-SHAFT 1K,g-pot:Pot_Single,g-pot:Potentiometer_9MM_1-Gang_Alpha_RD901F,https://www.mouser.com/datasheet/2/13/RD901SF-2303579.pdf,RD901F,Rotary,1k,Rev. Audio,C1k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-0001-C202,RD901F-40-15R1-C2K-00DL1,Alpha,POT 9MM ALPHA RD901F REV. AUDIO PTH 1-GANG 6.35MM-SHAFT 2K,g-pot:Pot_Single,g-pot:Potentiometer_9MM_1-Gang_Alpha_RD901F,https://www.mouser.com/datasheet/2/13/RD901SF-2303579.pdf,RD901F,Rotary,2k,Rev. Audio,C2k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-0002-A103,RD902F-40-15R1-A10K-00DL1,Alpha,POT 9MM ALPHA RD901F AUDIO PTH DUAL-GANG 6.35MM-SHAFT 10K,g-pot:Pot_Dual,g-pot:Potentiometer_Alpha_RD902F-40-00D_Dual_Vertical,https://www.mouser.com/datasheet/2/13/RD901SF-2303579.pdf,RD902F,Rotary,10k,Audio,A10k,1,2,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-0003-A102,PRS11R-415F-N103B1,Bourns,POT 11MM BOURNS PRS11R-4xxF LINEAR PTH 1-GANG 6.35MM-SHAFT 10K,g-pot:Pot_Single,g-pot:Potentiometer_11MM_1-Gang_Bourns_PRS11R-4xxF-N,https://www.mouser.com/datasheet/2/54/Bourns_03252021_PRS11R_datasheet-2297956.pdf,PRS11R,Rotary,10k,Linear,B10k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-0004-A102,PRS11R-415F-S103B1,Bourns,POT 11MM BOURNS PRS11R-4xxF LINEAR PTH 1-GANG 6.35MM-SHAFT 10K – PUSH MOM SW,g-pot:Pot_Single_SPST,g-pot:Potentiometer_11MM_1-Gang_Bourns_PRS11R-4xxF-S,https://www.mouser.com/datasheet/2/54/Bourns_03252021_PRS11R_datasheet-2297956.pdf,PRS11R,Rotary,10k,Linear,B10k,1,1,SPST,Momentary (Push),Top,6mm,,,,PTH,Cermet,
POT-1004-B102,,Alpha,POT 16MM ALPHA LINEAR PTH 1-GANG 6.35MM-SHAFT 1K,g-pot:Pot_Single,g-pot:Potentiometer_16MM,,,Rotary,1k,Linear,B1k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-1004-B202,,Alpha,POT 16MM ALPHA LINEAR PTH 1-GANG 6.35MM-SHAFT 2K,g-pot:Pot_Single,g-pot:Potentiometer_16MM,,,Rotary,2k,Linear,B2k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-1004-B502,,Alpha,POT 16MM ALPHA LINEAR PTH 1-GANG 6.35MM-SHAFT 5K,g-pot:Pot_Single,g-pot:Potentiometer_16MM,,,Rotary,5k,Linear,B5k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-1004-B103,,Alpha,POT 16MM ALPHA LINEAR PTH 1-GANG 6.35MM-SHAFT 10K,g-pot:Pot_Single,g-pot:Potentiometer_16MM,,,Rotary,10k,Linear,B10k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-1004-B253,,Alpha,POT 16MM ALPHA LINEAR PTH 1-GANG 6.35MM-SHAFT 25K,g-pot:Pot_Single,g-pot:Potentiometer_16MM,,,Rotary,25k,Linear,B25k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-1004-B503,,Alpha,POT 16MM ALPHA LINEAR PTH 1-GANG 6.35MM-SHAFT 50K,g-pot:Pot_Single,g-pot:Potentiometer_16MM,,,Rotary,50k,Linear,B50k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-1004-B104,,Alpha,POT 16MM ALPHA LINEAR PTH 1-GANG 6.35MM-SHAFT 100K,g-pot:Pot_Single,g-pot:Potentiometer_16MM,,,Rotary,100k,Linear,B100k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-1004-B254,,Alpha,POT 16MM ALPHA LINEAR PTH 1-GANG 6.35MM-SHAFT 250K,g-pot:Pot_Single,g-pot:Potentiometer_16MM,,,Rotary,250k,Linear,B250k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-1004-B504,,Alpha,POT 16MM ALPHA LINEAR PTH 1-GANG 6.35MM-SHAFT 500K,g-pot:Pot_Single,g-pot:Potentiometer_16MM,,,Rotary,500k,Linear,B500k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-1004-B105,,Alpha,POT 16MM ALPHA LINEAR PTH 1-GANG 6.35MM-SHAFT 1M,g-pot:Pot_Single,g-pot:Potentiometer_16MM,,,Rotary,1M,Linear,B1M,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-1004-A102,,Alpha,POT 16MM ALPHA AUDIO PTH 1-GANG 6.35MM-SHAFT 1K,g-pot:Pot_Single,g-pot:Potentiometer_16MM,,,Rotary,1k,Audio,A1k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-1004-A202,,Alpha,POT 16MM ALPHA AUDIO PTH 1-GANG 6.35MM-SHAFT 2K,g-pot:Pot_Single,g-pot:Potentiometer_16MM,,,Rotary,2k,Audio,A2k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-1004-A502,,Alpha,POT 16MM ALPHA AUDIO PTH 1-GANG 6.35MM-SHAFT 5K,g-pot:Pot_Single,g-pot:Potentiometer_16MM,,,Rotary,5k,Audio,A5k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-1004-A103,,Alpha,POT 16MM ALPHA AUDIO PTH 1-GANG 6.35MM-SHAFT 10K,g-pot:Pot_Single,g-pot:Potentiometer_16MM,,,Rotary,10k,Audio,A10k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-1004-A253,,Alpha,POT 16MM ALPHA AUDIO PTH 1-GANG 6.35MM-SHAFT 25K,g-pot:Pot_Single,g-pot:Potentiometer_16MM,,,Rotary,25k,Audio,A25k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-1004-A503,,Alpha,POT 16MM ALPHA AUDIO PTH 1-GANG 6.35MM-SHAFT 50K,g-pot:Pot_Single,g-pot:Potentiometer_16MM,,,Rotary,50k,Audio,A50k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-1004-A104,,Alpha,POT 16MM ALPHA AUDIO PTH 1-GANG 6.35MM-SHAFT 100K,g-pot:Pot_Single,g-pot:Potentiometer_16MM,,,Rotary,100k,Audio,A100k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-1004-A254,,Alpha,POT 16MM ALPHA AUDIO PTH 1-GANG 6.35MM-SHAFT 250K,g-pot:Pot_Single,g-pot:Potentiometer_16MM,,,Rotary,250k,Audio,A250k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-1004-A504,,Alpha,POT 16MM ALPHA AUDIO PTH 1-GANG 6.35MM-SHAFT 500K,g-pot:Pot_Single,g-pot:Potentiometer_16MM,,,Rotary,500k,Audio,A500k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-1004-A105,,Alpha,POT 16MM ALPHA AUDIO PTH 1-GANG 6.35MM-SHAFT 1M,g-pot:Pot_Single,g-pot:Potentiometer_16MM,,,Rotary,1M,Audio,A1M,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-1004-C102,,Alpha,POT 16MM ALPHA REV. AUDIO PTH 1-GANG 6.35MM-SHAFT 1K,g-pot:Pot_Single,g-pot:Potentiometer_16MM,,,Rotary,1k,Rev. Audio,C1k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-1004-C202,,Alpha,POT 16MM ALPHA REV. AUDIO PTH 1-GANG 6.35MM-SHAFT 2K,g-pot:Pot_Single,g-pot:Potentiometer_16MM,,,Rotary,2k,Rev. Audio,C2k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-5003-B102,3362P-1-102LF,Bourns,POT TRIM LINEAR PTH 1-TURN TOP-ADJ 1K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3362P_Vertical,https://www.bourns.com/docs/Product-Datasheets/3362.pdf,3362P,Trimmer,1k,Linear,B1k,1,1,None,N/A,Top,N/A,6.6,7,4.9,PTH,Cermet,10.00%
POT-5003-B202,3362P-1-202LF,Bourns,POT TRIM LINEAR PTH 1-TURN TOP-ADJ 2K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3362P_Vertical,https://www.bourns.com/docs/Product-Datasheets/3362.pdf,3362P,Trimmer,2k,Linear,B2k,1,1,None,N/A,Top,N/A,6.6,7,4.9,PTH,Cermet,10.00%
POT-5003-B502,3362P-1-502LF,Bourns,POT TRIM LINEAR PTH 1-TURN TOP-ADJ 5K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3362P_Vertical,https://www.bourns.com/docs/Product-Datasheets/3362.pdf,3362P,Trimmer,5k,Linear,B5k,1,1,None,N/A,Top,N/A,6.6,7,4.9,PTH,Cermet,10.00%
POT-5003-B103,3362P-1-103LF,Bourns,POT TRIM LINEAR PTH 1-TURN TOP-ADJ 10K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3362P_Vertical,https://www.bourns.com/docs/Product-Datasheets/3362.pdf,3362P,Trimmer,10k,Linear,B10k,1,1,None,N/A,Top,N/A,6.6,7,4.9,PTH,Cermet,10.00%
POT-5003-B203,3362P-1-203LF,Bourns,POT TRIM LINEAR PTH 1-TURN TOP-ADJ 20K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3362P_Vertical,https://www.bourns.com/docs/Product-Datasheets/3362.pdf,3362P,Trimmer,20k,Linear,B20k,1,1,None,N/A,Top,N/A,6.6,7,4.9,PTH,Cermet,10.00%
POT-5003-B503,3362P-1-503LF,Bourns,POT TRIM LINEAR PTH 1-TURN TOP-ADJ 50K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3362P_Vertical,https://www.bourns.com/docs/Product-Datasheets/3362.pdf,3362P,Trimmer,50k,Linear,B50k,1,1,None,N/A,Top,N/A,6.6,7,4.9,PTH,Cermet,10.00%
POT-5003-B104,3362P-1-104LF,Bourns,POT TRIM LINEAR PTH 1-TURN TOP-ADJ 100K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3362P_Vertical,https://www.bourns.com/docs/Product-Datasheets/3362.pdf,3362P,Trimmer,100k,Linear,B100k,1,1,None,N/A,Top,N/A,6.6,7,4.9,PTH,Cermet,10.00%
POT-5003-B204,3362P-1-204LF,Bourns,POT TRIM LINEAR PTH 1-TURN TOP-ADJ 200K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3362P_Vertical,https://www.bourns.com/docs/Product-Datasheets/3362.pdf,3362P,Trimmer,200k,Linear,B200k,1,1,None,N/A,Top,N/A,6.6,7,4.9,PTH,Cermet,10.00%
POT-5003-B504,3362P-1-304LF,Bourns,POT TRIM LINEAR PTH 1-TURN TOP-ADJ 500K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3362P_Vertical,https://www.bourns.com/docs/Product-Datasheets/3362.pdf,3362P,Trimmer,500k,Linear,B500k,1,1,None,N/A,Top,N/A,6.6,7,4.9,PTH,Cermet,10.00%
POT-5003-B105,3362P-1-105LF,Bourns,POT TRIM LINEAR PTH 1-TURN TOP-ADJ 1M,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3362P_Vertical,https://www.bourns.com/docs/Product-Datasheets/3362.pdf,3362P,Trimmer,1M,Linear,B1M,1,1,None,N/A,Top,N/A,6.6,7,4.9,PTH,Cermet,10.00%
POT-5004-B102,3362S-1-102LF,Bourns,POT TRIM LINEAR PTH 1-TURN SIDE-ADJ 1K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3362S_Horizontal,https://www.bourns.com/docs/Product-Datasheets/3362.pdf,3362S,Trimmer,1k,Linear,B1k,1,1,None,N/A,Side,N/A,6.6,4.9,7,PTH,Cermet,10.00%
POT-5004-B202,3362S-1-202LF,Bourns,POT TRIM LINEAR PTH 1-TURN SIDE-ADJ 2K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3362S_Horizontal,https://www.bourns.com/docs/Product-Datasheets/3362.pdf,3362S,Trimmer,2k,Linear,B2k,1,1,None,N/A,Side,N/A,6.6,4.9,7,PTH,Cermet,10.00%
POT-5004-B502,3362S-1-502LF,Bourns,POT TRIM LINEAR PTH 1-TURN SIDE-ADJ 5K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3362S_Horizontal,https://www.bourns.com/docs/Product-Datasheets/3362.pdf,3362S,Trimmer,5k,Linear,B5k,1,1,None,N/A,Side,N/A,6.6,4.9,7,PTH,Cermet,10.00%
POT-5004-B103,3362S-1-103LF,Bourns,POT TRIM LINEAR PTH 1-TURN SIDE-ADJ 10K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3362S_Horizontal,https://www.bourns.com/docs/Product-Datasheets/3362.pdf,3362S,Trimmer,10k,Linear,B10k,1,1,None,N/A,Side,N/A,6.6,4.9,7,PTH,Cermet,10.00%
POT-5004-B203,3362S-1-203LF,Bourns,POT TRIM LINEAR PTH 1-TURN SIDE-ADJ 20K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3362S_Horizontal,https://www.bourns.com/docs/Product-Datasheets/3362.pdf,3362S,Trimmer,20k,Linear,B20k,1,1,None,N/A,Side,N/A,6.6,4.9,7,PTH,Cermet,10.00%
POT-5004-B503,3362S-1-503LF,Bourns,POT TRIM LINEAR PTH 1-TURN SIDE-ADJ 50K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3362S_Horizontal,https://www.bourns.com/docs/Product-Datasheets/3362.pdf,3362S,Trimmer,50k,Linear,B50k,1,1,None,N/A,Side,N/A,6.6,4.9,7,PTH,Cermet,10.00%
POT-5004-B104,3362S-1-104LF,Bourns,POT TRIM LINEAR PTH 1-TURN SIDE-ADJ 100K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3362S_Horizontal,https://www.bourns.com/docs/Product-Datasheets/3362.pdf,3362S,Trimmer,100k,Linear,B100k,1,1,None,N/A,Side,N/A,6.6,4.9,7,PTH,Cermet,10.00%
POT-5004-B204,3362S-1-204LF,Bourns,POT TRIM LINEAR PTH 1-TURN SIDE-ADJ 200K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3362S_Horizontal,https://www.bourns.com/docs/Product-Datasheets/3362.pdf,3362S,Trimmer,200k,Linear,B200k,1,1,None,N/A,Side,N/A,6.6,4.9,7,PTH,Cermet,10.00%
POT-5004-B504,3362S-1-304LF,Bourns,POT TRIM LINEAR PTH 1-TURN SIDE-ADJ 500K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3362S_Horizontal,https://www.bourns.com/docs/Product-Datasheets/3362.pdf,3362S,Trimmer,500k,Linear,B500k,1,1,None,N/A,Side,N/A,6.6,4.9,7,PTH,Cermet,10.00%
POT-5004-B105,3362S-1-105LF,Bourns,POT TRIM LINEAR PTH 1-TURN SIDE-ADJ 1M,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3362S_Horizontal,https://www.bourns.com/docs/Product-Datasheets/3362.pdf,3362S,Trimmer,1M,Linear,B1M,1,1,None,N/A,Side,N/A,6.6,4.9,7,PTH,Cermet,10.00%
POT-5005-B102,3361P-1-102GLF,Bourns,POT TRIM LINEAR SMD 1-TURN TOP-ADJ 1K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3361P_Vertical,https://www.bourns.com/docs/Product-Datasheets/3361.pdf,3361P,Trimmer,1k,Linear,B1k,1,1,None,N/A,Top,N/A,6.7,7,5.2,SMD,Cermet,10.00%
POT-5005-B202,3361P-1-202GLF,Bourns,POT TRIM LINEAR SMD 1-TURN TOP-ADJ 2K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3361P_Vertical,https://www.bourns.com/docs/Product-Datasheets/3361.pdf,3361P,Trimmer,2k,Linear,B2k,1,1,None,N/A,Top,N/A,6.7,7,5.2,SMD,Cermet,10.00%
POT-5005-B502,3361P-1-502GLF,Bourns,POT TRIM LINEAR SMD 1-TURN TOP-ADJ 5K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3361P_Vertical,https://www.bourns.com/docs/Product-Datasheets/3361.pdf,3361P,Trimmer,5k,Linear,B5k,1,1,None,N/A,Top,N/A,6.7,7,5.2,SMD,Cermet,10.00%
POT-5005-B103,3361P-1-103GLF,Bourns,POT TRIM LINEAR SMD 1-TURN TOP-ADJ 10K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3361P_Vertical,https://www.bourns.com/docs/Product-Datasheets/3361.pdf,3361P,Trimmer,10k,Linear,B10k,1,1,None,N/A,Top,N/A,6.7,7,5.2,SMD,Cermet,10.00%
POT-5005-B203,3361P-1-203GLF,Bourns,POT TRIM LINEAR SMD 1-TURN TOP-ADJ 20K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3361P_Vertical,https://www.bourns.com/docs/Product-Datasheets/3361.pdf,3361P,Trimmer,20k,Linear,B20k,1,1,None,N/A,Top,N/A,6.7,7,5.2,SMD,Cermet,10.00%
POT-5005-B503,3361P-1-503GLF,Bourns,POT TRIM LINEAR SMD 1-TURN TOP-ADJ 50K,g-pot:Pot_Single,g-pot:Potentiometer_Bourns_3361P_Vertical,https://www.bourns.com/docs/Product-Datasheets/3361.pdf,3361P,Trimmer,50k,Linear,B50k,1,1,None,N/A,Top,N/A,6.7,7,5.2,SMD,Cermet,10.00%
