"IPN","MPN","Value","Manufacturer","Series","Capacitance","Description","Length","Width","Height","Footprint","Symbol","Mounting Type","Package / Case","Polarization","Voltage Rating (AC)","Voltage Rating (DC)","supplier","Material","Tolerance","Lead Spacing","Datasheet","Base MPN","Mouser Stocked MPN","Price","Stock"
"CAP-0001-0013","FKP2C013301D00KSSD","3.3n","Wima","FKP 2","3.3n","CAP FILM PP WIMA FKP2 3.3n","7.2","4.5","6","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Device:C","Through Hole","Radial","Bi-Polar","40V","63V","Digikey","Polypropylene","20%","5mm","https://www.wima.de/wp-content/uploads/media/e_WIMA_FKP_2.pdf","FKP2 013301D00 SSD","FKP2C013301D00JSSD","$0.37",""
"CAP-0001-0014","FKP2C014701D00JSSD","4.7n","Wima","FKP 2","4.7n","CAP FILM PP WIMA FKP2 4.7n","7.2","4.5","6","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Device:C","Through Hole","Radial","Bi-Polar","40V","63V","Digikey","Polypropylene","20%","5mm","https://www.wima.de/wp-content/uploads/media/e_WIMA_FKP_2.pdf","FKP2 014701D00 SSD","FKP2C014701D00KSSD","$0.343","10"
"CAP-0001-0015","FKP2C016801D00JSSD","6.8n","Wima","FKP 2","6.8n","CAP FILM PP WIMA FKP2 6.8n","7.2","4.5","6","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Device:C","Through Hole","Radial","Bi-Polar","40V","63V","Digikey","Polypropylene","20%","5mm","https://www.wima.de/wp-content/uploads/media/e_WIMA_FKP_2.pdf","FKP2 016801D00 SSD","FKP2C016801D00HSSD","$0.47",""
"CAP-0002-0001","MKP2C021001B00JSSD","10n","Wima","MKP 2","10n","CAP FILM PP-M WIMA MKP2 10n","7.2","3","7.5","Capacitor_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Device:C","Through Hole","Radial","Bi-Polar","40V","63V","Digikey","Polypropylene (Metallized)","20%","5mm","https://www.wima.de/wp-content/uploads/media/e_WIMA_MKP_2.pdf","MKP2 021001B00 SSD","MKP2D021001B00MSSD","$0.171","10"
"CAP-0002-0002","MKP2D021501B00KSSD","15n","Wima","MKP 2","15n","CAP FILM PP-M WIMA MKP2 15n","7.2","3","7.5","Capacitor_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Device:C","Through Hole","Radial","Bi-Polar","40V","63V","Digikey","Polypropylene (Metallized)","20%","5mm","https://www.wima.de/wp-content/uploads/media/e_WIMA_MKP_2.pdf","MKP2 021501B00 SSD","MKP2F021501B00KSSD","$0.328",""
"CAP-0002-0003","MKP2D022201B00KSSD","22n","Wima","MKP 2","22n","CAP FILM PP-M WIMA MKP2 22n","7.2","3","7.5","Capacitor_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Device:C","Through Hole","Radial","Bi-Polar","40V","63V","Digikey","Polypropylene (Metallized)","20%","5mm","https://www.wima.de/wp-content/uploads/media/e_WIMA_MKP_2.pdf","MKP2 022201B00 SSD","MKP2F022201B00JSSD","$0.403","10"
"CAP-0002-0004","MKP2D023301B00KSSD","33n","Wima","MKP 2","33n","CAP FILM PP-M WIMA MKP2 33n","7.2","3","7.5","Capacitor_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Device:C","Through Hole","Radial","Bi-Polar","40V","63V","Digikey","Polypropylene (Metallized)","20%","5mm","https://www.wima.de/wp-content/uploads/media/e_WIMA_MKP_2.pdf","MKP2 023301B00 SSD","MKP2D023301B00JSSD","$0.301",""
"CAP-0002-0005","MKP2C024701C00KSSD","47n","Wima","MKP 2","47n","CAP FILM PP-M WIMA MKP2 47n","7.2","3.5","8.5","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Device:C","Through Hole","Radial","Bi-Polar","40V","63V","Digikey","Polypropylene (Metallized)","20%","5mm","https://www.wima.de/wp-content/uploads/media/e_WIMA_MKP_2.pdf","MKP2 024701C00 SSD","MKP2D024701C00KSSD","$0.397","10"
"CAP-0002-0006","MKP2C026801E00JSSD","68n","Wima","MKP 2","68n","CAP FILM PP-M WIMA MKP2 68n","7.2","4.5","9.5","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Device:C","Through Hole","Radial","Bi-Polar","40V","63V","Digikey","Polypropylene (Metallized)","20%","5mm","https://www.wima.de/wp-content/uploads/media/e_WIMA_MKP_2.pdf","MKP2 026801E00 SSD","MKP2F026801E00KSSD","$0.474",""
"CAP-0002-0007","MKP2F031001F00KSSD","100n","Wima","MKP 2","100n","CAP FILM PP-M WIMA MKP2 100n","7.2","5","10","Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Device:C","Through Hole","Radial","Bi-Polar","40V","63V","Digikey","Polypropylene (Metallized)","20%","5mm","https://www.wima.de/wp-content/uploads/media/e_WIMA_MKP_2.pdf","MKP2 031001F00 SSD","MKP2F031001F00JSSD","$0.554","10"
"CAP-0003-0001","MKS2C031501A00MSSD","150n","Wima","MKS 2","150n","CAP FILM PE-M WIMA MKS2 150n","7.2","2.5","6.5","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Device:C","Through Hole","Radial","Bi-Polar","40V","63V","Digikey","Polyester (Metallized)","20%","5mm","https://www.wima.de/wp-content/uploads/media/e_WIMA_MKS_2.pdf","MKS2 031501A00 SSD","MKS2C031501A00JSSD","$0.404","10"
"CAP-0003-0002","MKS2C032201B00KSSD","220n","Wima","MKS 2","220n","CAP FILM PE-M WIMA MKS2 220n","7.2","3","7.5","Capacitor_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Device:C","Through Hole","Radial","Bi-Polar","40V","63V","Digikey","Polyester (Metallized)","20%","5mm","https://www.wima.de/wp-content/uploads/media/e_WIMA_MKS_2.pdf","MKS2 032201B00 SSD","MKS2C032201B00KSSD","$0.402","10"
"CAP-0003-0003","MKS2C033301C00KSSD","330n","Wima","MKS 2","330n","CAP FILM PE-M WIMA MKS2 330n","7.2","3.5","8.5","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Device:C","Through Hole","Radial","Bi-Polar","40V","63V","Digikey","Polyester (Metallized)","20%","5mm","https://www.wima.de/wp-content/uploads/media/e_WIMA_MKS_2.pdf","MKS2 033301C00 SSD","MKS2C033301C00KSSD","$0.45","10"
"CAP-0003-0004","MKS2C034701C00MSSD","470n","Wima","MKS 2","470n","CAP FILM PE-M WIMA MKS2 470n","7.2","3.5","8.5","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Device:C","Through Hole","Radial","Bi-Polar","40V","63V","Digikey","Polyester (Metallized)","20%","5mm","https://www.wima.de/wp-content/uploads/media/e_WIMA_MKS_2.pdf","MKS2 034701C00 SSD","MKS2C034701C00MSSD","$0.39","10"
